id,key,value,type
499993782,highway,motorway,regular
499993782,placement,left_of:2,regular
499993782,cfcc,A35,tiger
499993782,lanes,||merge_to_left,turn
499993782,county,"Tarrant, TX",tiger
499993782,name_base,State Highway 121,tiger
499993782,name_base_1,State Highway 183,tiger
503796784,building,yes,regular
503796784,street,Pecos Street,addr
503796784,housenumber,3128,addr
504037968,building,house,regular
504037968,street,Townsend Drive,addr
504037968,housenumber,3505,addr
504104423,building,house,regular
504104423,street,Truelson Drive,addr
504104423,housenumber,5756,addr
504264393,building,house,regular
504264393,street,Carol Avenue,addr
504264393,housenumber,5308,addr
504844843,building,yes,regular
504844843,street,Wilma Lane,addr
504844843,housenumber,4500,addr
504884326,building,house,regular
504884326,street,Donalee Street,addr
504884326,housenumber,3862,addr
505333134,building,house,regular
505333134,street,Geddes Avenue,addr
505333134,housenumber,5036,addr
505389395,building,house,regular
505389395,street,Northwest 23rd Street,addr
505389395,housenumber,3222,addr
506156841,amenity,parking,regular
506156841,parking,surface,regular
506156841,surface,concrete,regular
506783860,housenumber,4216,addr
506783860,street,Park Village Court,addr
506783860,building,house,regular
506829035,housenumber,5101,addr
506829035,street,Deer Ridge Court,addr
506829035,building,house,regular
507671919,housenumber,10021,addr
507671919,street,Crawford Farms Drive,addr
507671919,building,house,regular
508477243,housenumber,4881,addr
508477243,street,Sunset Circle South,addr
508477243,building,house,regular
508731934,housenumber,2617,addr
508731934,street,Old Trinity Way,addr
508731934,building,house,regular
508810981,housenumber,3913,addr
508810981,street,Wedgway Drive,addr
508810981,building,house,regular
509012190,housenumber,1608,addr
509012190,street,Burmeister Road,addr
509012190,building,house,regular
509057678,housenumber,3945,addr
509057678,street,Country Lane,addr
509057678,building,house,regular
509271050,housenumber,10025,addr
509271050,street,Lone Eagle Drive,addr
509271050,building,house,regular
510312025,housenumber,9336,addr
510312025,street,Mountain Lake Circle,addr
510312025,building,terrace,regular
510808081,housenumber,4912,addr
510808081,street,Woodmeadow Drive,addr
510808081,building,house,regular
520371877,building,yes,regular
