id,lat,lon,user,uid,version,changeset,timestamp
285992074,32.5838706,-97.0361559,brianboru,9065,1,121509,2008-08-07T19:44:01Z
305921821,32.7157271,-97.3947248,brianboru,9065,1,461422,2008-10-20T12:35:37Z
309756275,33.0412567,-97.2873516,brianboru,9065,4,668061,2008-11-03T21:49:44Z
313967918,32.8077164,-97.1376315,brianboru,9065,6,783677,2008-11-23T18:02:09Z
322391638,32.9383288,-96.9548545,ToddDTaft,87586,1,646686,2008-12-28T04:22:32Z
343694736,32.7875519,-96.8055256,brianboru,9065,1,298103,2009-02-09T16:28:05Z
356844388,32.7328862,-97.0491376,AgentBlue,2425490,2,26419601,2014-10-29T19:05:41Z
375789073,32.4375,-97.751072,Chris Lawrence,36121,1,515466,2009-04-14T15:31:11Z
377119207,33.004952,-97.342067,Chris Lawrence,36121,1,558806,2009-04-15T23:25:15Z
377336762,32.780833,-97.732229,Chris Lawrence,36121,1,572013,2009-04-16T01:45:29Z
377511418,32.723664,-96.587913,Chris Lawrence,36121,1,572013,2009-04-16T03:17:50Z
377559334,32.380338,-96.944272,Chris Lawrence,36121,1,572800,2009-04-16T04:44:44Z
378007924,33.106824,-97.030022,Chris Lawrence,36121,1,580181,2009-04-16T14:37:54Z
378582059,33.20913,-97.775146,Chris Lawrence,36121,1,596528,2009-04-17T02:14:15Z
451514410,33.2326314,-97.5961882,25or6to4,37392,1,1980779,2009-07-30T04:11:50Z
505061404,33.0613704,-97.0527292,Stephen214,4018842,2,43793144,2016-11-19T08:15:55Z
601041936,32.8572791,-97.3259079,hopfavogl,105454,2,24536601,2014-08-04T14:18:52Z
653013046,32.8059652,-96.5788384,andrewpmk,1679,1,3968455,2010-02-25T02:03:16Z
768915139,32.8613091,-96.8092095,Thad Guidry,301814,1,4958407,2010-06-10T21:51:42Z
838825954,32.9280973,-97.6150528,blakelylaw,362445,2,31410756,2015-05-24T02:55:08Z
1079629820,33.2029123,-96.7443163,Jcurran,1226539,2,17353175,2013-08-14T23:38:54Z
1113287637,32.744556,-97.4355184,Andrew Matheny_import,4904442,3,49532235,2017-06-14T14:52:18Z
1136720428,33.1558599,-96.8363564,cbatman,26509,1,7188878,2011-02-05T00:59:39Z
1224759108,32.766614,-97.6945867,adamos,25867,2,25827874,2014-10-03T10:01:51Z
1272085402,32.6539238,-97.0359226,Zartbitter,40397,1,8049641,2011-05-04T14:44:26Z
1327825344,32.5925729,-97.063007,chdr,165869,1,8458961,2011-06-16T19:03:32Z
1349338444,33.1921279,-97.1113531,Latze,2318,1,8630967,2011-07-04T16:19:02Z
1411734049,32.8781842,-96.9607893,Dranuhl,330630,1,9117697,2011-08-25T00:38:06Z
1443604986,33.2846736,-97.156423,Philip Neustrom,521824,1,9380422,2011-09-23T22:14:06Z
1508850244,33.4307244,-97.1303157,WernerP,315015,1,9875835,2011-11-19T18:31:50Z
1522680179,32.9593795,-96.9117067,homeslice60148,365944,1,9984575,2011-11-29T05:20:43Z
1557378424,33.3913545,-97.0022481,WernerP,315015,1,10174142,2011-12-21T18:32:34Z
1598479812,32.8823325,-96.7625758,jazztunes,581419,1,10443358,2012-01-20T06:12:27Z
1647513913,32.5515163,-96.9892153,Mara,145781,1,10791734,2012-02-25T20:22:13Z
1675455400,32.9243271,-97.0818362,KristenK,1494110,2,32555977,2015-07-11T00:06:16Z
1719992879,32.795037,-97.7030972,25or6to4,37392,1,11328537,2012-04-17T01:40:30Z
1721184241,32.311339,-96.6795721,25or6to4,37392,1,11338523,2012-04-17T22:00:26Z
1756997262,32.8428674,-96.476832,Zartbitter,40397,1,11630424,2012-05-18T08:48:38Z
1776292562,32.9636434,-96.4251726,TexasNHD,672878,1,11799194,2012-06-04T18:17:50Z
1782975723,32.6562659,-96.6842789,TexasNHD,672878,1,11858551,2012-06-10T19:54:14Z
1785397146,33.2048585,-97.0337578,TexasNHD,672878,1,11880004,2012-06-12T22:27:14Z
1785433086,33.1199908,-97.2925211,TexasNHD,672878,1,11880275,2012-06-12T23:18:28Z
1785586158,32.4242517,-96.184372,TexasNHD,672878,1,11881033,2012-06-13T04:25:52Z
1786414214,32.7862608,-97.2064515,TexasNHD,672878,1,11888033,2012-06-13T18:48:55Z
1811827709,33.1863973,-96.6724439,chdr,165869,1,12104894,2012-07-03T21:26:45Z
1844698186,32.6375513,-96.6480162,TexasNHD,672878,1,12555255,2012-07-30T23:28:29Z
1844716083,32.1889855,-96.1652857,TexasNHD,672878,1,12555346,2012-07-30T23:48:12Z
1878577429,32.4119769,-97.7651238,TexasNHD,672878,1,12827066,2012-08-22T23:18:02Z
1881881705,33.0156135,-97.7476521,FrozenFlame22,719784,1,12851219,2012-08-25T02:20:41Z
1932792323,32.800452,-97.221199,NE2,207745,1,13251742,2012-09-25T20:03:06Z
2023875821,33.1506756,-96.8291455,scottyc,496606,1,13951570,2012-11-20T22:19:40Z
2073134834,33.1213875,-96.6059585,ZargonGod,554333,1,14320393,2012-12-18T16:26:42Z
2089100024,33.1542053,-97.09397,chdr,165869,1,14469844,2012-12-30T20:57:54Z
2123178525,32.3810125,-97.3983263,bfg9000d,199181,1,14739157,2013-01-21T22:38:03Z
2217377175,32.5519134,-96.8303526,ZargonGod,554333,1,15472069,2013-03-23T22:11:42Z
