id,node_id,position
20997705,225684848,25
20997705,225684852,26
20997705,225684857,27
20997705,225554238,28
20997705,225684864,29
20997705,225684869,30
20997705,375784003,31
20997705,225594377,32
20997705,225594231,33
20997705,375784031,34
20997705,225684878,35
20997705,225684884,36
20997705,225684887,37
20997705,375784048,38
20997705,225601589,39
20997705,375784055,40
20997705,375784059,41
20997705,225684896,42
20997705,225591849,43
20997705,225684900,44
20997705,375784075,45
20997705,375784079,46
20997705,375784083,47
20997705,225684927,48
20997705,375784091,49
20997705,375784095,50
20997705,225684939,51
20997705,375784102,52
20997705,225601632,53
20997705,225684946,54
20997705,225684949,55
20997705,225504313,56
20997705,225684954,57
20997705,225524201,58
20997705,225684958,59
20997705,225604805,60
20997705,225684965,61
20997705,225684972,62
20997705,225684975,63
20997705,225684978,64
20997705,225615247,65
20997705,225684983,66
20997705,225441583,67
20997705,225684988,68
20997705,225684993,69
20997705,225684996,70
20997705,225561739,71
20997705,225685000,72
20997705,225685006,73
20997705,225685011,74
20997705,225685020,75
21240245,228452641,0
21240245,228452645,1
21240245,228452648,2
21240245,228452650,3
21240245,228452652,4
21240245,228452656,5
21240245,228452658,6
21240245,228452663,7
21240245,228452665,8
21240245,228452667,9
21240245,228452670,10
21240245,228452674,11
21240245,228452678,12
21240245,228452685,13
21240245,228452689,14
21240245,228452693,15
21240245,228452696,16
21240245,228452699,17
21240245,228452704,18
21240245,228452708,19
21240245,228452714,20
21240245,228452717,21
21240245,228452722,22
21240245,228452725,23
21240245,228452729,24
21240245,228452733,25
21240245,228401191,26
21240245,228452741,27
21240245,228452747,28
21240245,228452752,29
21240245,228452757,30
21240245,228452760,31
21240245,228452763,32
21240245,228452765,33
21240245,228452771,34
21240245,228452774,35
21240245,228452776,36
21240245,228452779,37
21240245,228452782,38
21240245,228452784,39
21240245,228452788,40
21240245,228452791,41
21240245,228452794,42
21240245,228452798,43
39421331,81954771,0
39421331,81954470,1
39421331,472241545,2
39421331,472241546,3
39421331,472241547,4
39421331,472241548,5
39421331,472241549,6
39421331,472241550,7
39421331,472241551,8
39421331,472241552,9
39421331,472241553,10
39421331,472241554,11
39421331,472241555,12
94448666,1097105857,0
94448666,1097105799,1
129952351,1432791808,0
129952351,1432791882,1
129952351,1432792768,2
129952351,1432792508,3
129952351,1432792007,4
129952351,1432792282,5
129952351,1432791933,6
129952351,1432792120,7
129952351,1432792133,8
129952351,1432791509,9
129952351,1432791313,10
129952351,1432791701,11
129952351,1432792780,12
129952351,1432791583,13
129952351,1432792198,14
129952351,1432792245,15
